triangle_id,point_id_0,point_id_1,point_id_2,base_area,min_relative_area_change,min_expression,max_relative_area_change,max_expression
7988,12579,12717,12985,4.3985273233350781e-07,-0.17922581118413272,Extra_Funnel,0.61364702100600765,Scream
7989,12584,12856,13035,5.5361812020274524e-07,-0.59264590428798103,Compressed,0.40360234749159241,BrowUpLeft
7990,12584,13035,12653,4.1034802431401015e-07,-0.61242033340766655,Compressed,0.87511116395111355,EyeClosedBrowUpLeft
7991,12591,12898,12914,2.3763747365124032e-07,-0.64180376219784308,LipsPressed,0.69384552676393318,Extra_Funnel
7992,12591,12914,12648,3.1524114468268847e-07,-0.52118906799322096,LipsPressed,0.62181804580692002,Extra_Funnel
7993,12594,12942,13041,6.4614734088585918e-07,-0.19021452952339934,LipsLeft,0.49061010783597037,Scream
7994,12594,13041,12714,6.3204902117036119e-07,-0.21130940201215276,LipsLeft,0.6373072357157723,Scream
7995,12594,12775,12942,7.6228647715424635e-07,-0.1860941031973028,LipsLeft,0.32211914488769411,Smile
7996,12600,434401,313522,1.7213729561471835e-06,-0.025537841659286298,EyesUp,0.13769339796044999,Compressed
7997,12600,313522,448499,1.5859957576726321e-06,-0.027775497960944251,EyesUp,0.1360791198198652,Compressed
7998,12600,297404,432721,2.1306185439505188e-06,-0.025965217213331448,EyesUp,0.15043659963796951,Compressed
7999,12600,448499,297404,1.6478146851895843e-06,-0.027552803812740723,EyesUp,0.14723254009249076,Compressed
8000,12600,484412,296062,1.7899638614295263e-06,-0.08913067213059489,BrowUpLeft,0.13645189439034811,BrowDownLeft
8001,12600,296062,434401,1.7999344226561994e-06,-0.070592057885909498,BrowUpLeft,0.09887248644653801,Compressed
8002,12600,432721,70855,1.2596319153007386e-06,-0.028715704375209206,EyesUp,0.15065674858645783,Compressed
8003,12600,70855,484412,1.1819638611544268e-06,-0.029448950448637601,EyesUp,0.13186410289844619,Compressed
